Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day
A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70322	-	-	-	0.2	0	0	0.215	500	0.225	500	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70324	-	-	-	0.735	0	0	0.73	"3,000"	0.76	100	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70326	-	-	-	0.495	0	0	0.465	510	0.475	510	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70328	-	-	-	0.24	0	0	0.25	"2,001"	0.255	"2,001"	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70330	0.335	0.34	0.335	0.335	6.35	"9,099"	0.33	"5,000"	0.34	"5,300"	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70332	-	-	-	0.725	0	0	0.715	500	0.75	100	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70334	-	-	-	0.95	0	0	0.92	500	0.945	500	27-Feb-19	9:36 AM	Wednesday
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)	70336	0.535	0.535	0.535	0.535	4.9	28	0.53	500	0.535	472	27-Feb-19	9:36 AM	Wednesday
A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70321	-	-	-	0.05	0	0	0.005	100	0.02	100	27-Feb-19	9:36 AM	Wednesday
A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70323	0.01	0.01	0.01	0.01	-33.33	250	0.005	"5,000"	0.01	200	27-Feb-19	9:36 AM	Wednesday
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70325	-	-	-	0.035	0	0	0.015	"8,000"	0.035	100	27-Feb-19	9:36 AM	Wednesday
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ)	70327	0.09	0.09	0.09	0.09	-5.26	"2,500"	0.09	"3,000"	0.095	"5,200"	27-Feb-19	9:36 AM	Wednesday
ASTRAL ASIA BHD	7054	-	-	-	0.145	0	0	0.145	375	0.155	410	27-Feb-19	9:36 AM	Wednesday
AIRASIA X BERHAD	5238	0.26	0.26	0.26	0.26	-1.89	"15,946"	0.255	"47,751"	0.26	"29,414"	27-Feb-19	9:36 AM	Wednesday
AAX-C20: CW AIRASIA X BERHAD (RHB)	523820	-	-	-	0.005	0	0	0	0	0.005	"11,500"	27-Feb-19	9:36 AM	Wednesday
AAX-C21: CW AIRASIA X BERHAD (MACQ)	523821	-	-	-	0.005	0	0	0.005	"5,000"	0.02	200	27-Feb-19	9:36 AM	Wednesday
AIRASIA X BERHAD - WARRANTS  A  2015/2020	5238WA	-	-	-	0.06	0	0	0.055	"12,551"	0.06	"15,273"	27-Feb-19	9:36 AM	Wednesday
ABF MALAYSIA BOND INDEX FUND	0800EA	-	-	-	1.167	0	0	1.162	"1,000"	1.167	"1,000"	27-Feb-19	9:36 AM	Wednesday
ABLEGROUP BERHAD	7086	-	-	-	0.075	0	0	0.07	"12,150"	0.08	"5,567"	27-Feb-19	9:36 AM	Wednesday
ALLIANCE BANK MALAYSIA BERHAD	2488	-	-	-	4.25	0	0	4.23	7	4.25	54	27-Feb-19	9:36 AM	Wednesday
ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB)	2488CX	-	-	-	0.005	0	0	0	0	0	0	27-Feb-19	9:36 AM	Wednesday
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB)	2488CY	-	-	-	0.1	0	0	0.11	700	0.12	700	27-Feb-19	9:36 AM	Wednesday
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0	0	0.25	100	0.3	47	27-Feb-19	9:36 AM	Wednesday
ACOUSTECH BHD	7120	0.45	0.46	0.45	0.45	0	"9,740"	0.445	200	0.45	326	27-Feb-19	9:36 AM	Wednesday
ADVANCECON HOLDINGS BERHAD	5281	0.335	0.34	0.335	0.34	0	407	0.335	363	0.34	410	27-Feb-19	9:36 AM	Wednesday
ADVENTA BHD	7191	-	-	-	0.37	0	0	0.36	100	0.37	102	27-Feb-19	9:36 AM	Wednesday
