Company	Stock_Code	Open	High	Low	Last	Chg_Perc	Vol_in'00	Buy	Buy_Vol_in'00	Sell	Sell_Vol_in'00	Date	Time	Day	Industry	Index
ASTRAL ASIA BHD	7054	0.145	0.145	0.145	0.145	0.0	255	0.145	350	0.155	410	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AIRASIA X BERHAD	5238	0.25	0.255	0.24	0.255	2.0	106,742	0.25	50,309	0.255	26,405	1-Mar-19	5:47 PM	Friday	CONSUMER PRODUCTS & SERVICES	Others
ABLEGROUP BERHAD	7086	0.07	0.07	0.07	0.07	0.0	201	0.07	9,549	0.075	1,707	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ALLIANCE BANK MALAYSIA BERHAD	2488	4.05	4.26	4.05	4.2	6.06	34,998	4.2	168	4.23	187	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ACME HOLDINGS BERHAD	7131	-	-	-	0.23	0.0	0	0.25	280	0.3	47	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ACOUSTECH BHD	7120	0.42	0.445	0.41	0.43	-1.15	18,847	0.43	13	0.435	100	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ADVANCECON HOLDINGS BERHAD	5281	0.33	0.36	0.32	0.34	1.49	10,215	0.34	115	0.345	837	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ADVENTA BHD	7191	0.37	0.37	0.37	0.37	1.37	270	0.355	350	0.4	10	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ADVANCED PACKAGING TECHNOLOGY	9148	1.9	1.9	1.9	1.9	-1.04	100	1.85	100	2.0	179	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AE MULTI HOLDINGS BHD	7146	0.115	0.12	0.115	0.12	0.0	60	0.12	20	0.125	690	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AEMULUS HOLDINGS BERHAD	181	0.245	0.25	0.24	0.245	0.0	16,840	0.245	3,355	0.25	3,580	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AEON CO. (M) BHD	6599	1.65	1.66	1.6	1.6	-3.03	7,847	1.6	1,144	1.61	2,012	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AEON CREDIT SERVICE (M) BHD	5139	16.76	17.28	16.5	16.7	0.97	1,144	16.64	13	16.7	136	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AFFIN BANK BERHAD	5185	2.3	2.31	2.28	2.28	-1.72	1,384	2.28	164	2.3	226	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ABM FUJIYA BERHAD	5198	0.53	0.54	0.49	0.5	-5.66	242	0.5	94	0.52	37	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AHB HOLDINGS BHD	7315	0.13	0.135	0.13	0.135	3.85	808	0.13	900	0.135	1,079	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
APEX HEALTHCARE BHD	7090	9.2	9.8	9.2	9.58	7.04	2,196	9.58	17	9.64	20	1-Mar-19	5:47 PM	Friday	HEALTH CARE	Others
AMANAH HARTA TANAH PNB	4952	0.74	0.76	0.74	0.76	2.7	301	0.735	50	0.76	186	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ADVANCE INFORMATION MARKETING	122	-	-	-	0.28	0.0	0	0.24	2,200	0.4	2,200	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AIRASIA GROUP BERHAD	5099	2.77	2.79	2.69	2.74	-1.08	260,159	2.74	2,061	2.76	646	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
MALAYSIA AIRPORTS HOLDINGS BHD	5014	8.18	8.18	8.1	8.12	-0.61	8,671	8.1	4,763	8.12	30	1-Mar-19	5:47 PM	Friday	TRANSPORTATION & LOGISTICS SERVICES	FTSE BURSA MALAYSIA KLCI
AMALGAMATED INDUSTRIAL STEEL	2682	0.26	0.26	0.26	0.26	0.0	180	0.26	161	0.29	79	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AJINOMOTO (M) BHD	2658	18.64	18.64	18.56	18.6	-0.21	52	18.6	4	18.64	25	1-Mar-19	5:47 PM	Friday	CONSUMER PRODUCTS & SERVICES	Others
AJIYA BHD	7609	0.535	0.535	0.525	0.525	-1.87	3,997	0.52	530	0.525	1	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ALAM MARITIM RESOURCES BHD	5115	0.09	0.095	0.085	0.095	0.0	53,618	0.09	15,798	0.095	9,668	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AL-AQAR HEALTHCARE REIT	5116	1.4	1.4	1.37	1.37	1.48	436	1.35	25	1.37	24	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ALCOM GROUP BERHAD	2674	0.49	0.49	0.49	0.49	-2.0	162	0.49	402	0.515	200	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
ALLIANZ MALAYSIA BHD	1163	14.38	14.38	14.28	14.3	0.14	313	14.3	154	14.68	12	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AL-SALAM REAL ESTATE INVESTMENT TRUST	5269	0.805	0.81	0.795	0.805	0.0	141	0.805	52	0.815	5	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AMMB HOLDINGS BHD	1015	4.47	4.51	4.42	4.5	0.67	28,821	4.48	219	4.5	968	1-Mar-19	5:47 PM	Friday	BANKING	FTSE BURSA MALAYSIA KLCI
ASIA MEDIA GROUP BERHAD	159	0.16	0.165	0.16	0.165	3.12	1,180	0.16	1,071	0.165	1,790	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AMFIRST REITS	5120	0.53	0.535	0.53	0.53	0.0	3,531	0.53	1,981	0.535	400	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AMLEX HOLDINGS BERHAD	3011	-	-	-	0.18	0.0	0	0.01	500	0.17	500	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AMCORP PROPERTIES BERHAD	1007	0.525	0.53	0.52	0.525	0.0	775	0.525	474	0.53	549	1-Mar-19	5:47 PM	Friday	PROPERTY	Others
AMTEK HOLDINGS BHD	7051	0.31	0.31	0.27	0.275	-8.33	629	0.275	17	0.345	100	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
AMTEL HOLDINGS BHD	7031	-	-	-	0.655	0.0	0	0.655	200	0.795	3	1-Mar-19	5:47 PM	Friday	UNKNOWN	Others
