Company	Stock_Code	Industry	Index
AMMB HOLDINGS BHD	1015	BANKING	FTSE BURSA MALAYSIA KLCI
AXIATA GROUP BERHAD	6888	TELECOMMUNICATIONS SERVICE PROVIDERS	FTSE BURSA MALAYSIA KLCI
CIMB GROUP HOLDINGS BERHAD	1023	BANKING	FTSE BURSA MALAYSIA KLCI
DIALOG GROUP BHD	7277	"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES"	FTSE BURSA MALAYSIA KLCI
DIGI.COM BHD	6947	TELECOMMUNICATIONS SERVICE PROVIDERS	FTSE BURSA MALAYSIA KLCI
GENTING BHD	3182	"TRAVEL, LEISURE & HOSPITALITY"	FTSE BURSA MALAYSIA KLCI
GENTING MALAYSIA BERHAD	4715	"TRAVEL, LEISURE & HOSPITALITY"	FTSE BURSA MALAYSIA KLCI
HAP SENG CONSOLIDATED BHD	3034	DIVERSIFIED INDUSTRIALS	FTSE BURSA MALAYSIA KLCI
HARTALEGA HOLDINGS BHD	5168	HEALTH CARE EQUIPMENT & SERVICES	FTSE BURSA MALAYSIA KLCI
HONG LEONG BANK BHD	5819	BANKING	FTSE BURSA MALAYSIA KLCI
HONG LEONG FINANCIAL GROUP BHD	1082	BANKING	FTSE BURSA MALAYSIA KLCI
IHH HEALTHCARE BERHAD	5225	HEALTH CARE PROVIDERS	FTSE BURSA MALAYSIA KLCI
IOI CORPORATION BHD	1961	PLANTATION	FTSE BURSA MALAYSIA KLCI
KUALA LUMPUR KEPONG BHD	2445	PLANTATION	FTSE BURSA MALAYSIA KLCI
MALAYAN BANKING BHD	1155	BANKING	FTSE BURSA MALAYSIA KLCI
MALAYSIA AIRPORTS HOLDINGS BHD	5014	TRANSPORTATION & LOGISTICS SERVICES	FTSE BURSA MALAYSIA KLCI
MAXIS BERHAD	6012	TELECOMMUNICATIONS SERVICE PROVIDERS	FTSE BURSA MALAYSIA KLCI
MISC BHD	3816	TRANSPORTATION & LOGISTICS SERVICES	FTSE BURSA MALAYSIA KLCI
NESTLE (M) BHD	4707	FOOD & BEVERAGES	FTSE BURSA MALAYSIA KLCI
PETRONAS CHEMICALS GROUP BHD	5183	CHEMICALS	FTSE BURSA MALAYSIA KLCI
PETRONAS DAGANGAN BHD	5681	RETAILERS	FTSE BURSA MALAYSIA KLCI
PETRONAS GAS BHD	6033	"GAS, WATER & MULTI-UTILITIES"	FTSE BURSA MALAYSIA KLCI
PPB GROUP BHD	4065	FOOD & BEVERAGES	FTSE BURSA MALAYSIA KLCI
PRESS METAL ALUMINIUM HOLDINGS BERHAD	8869	METALS	FTSE BURSA MALAYSIA KLCI
PUBLIC BANK BHD	1295	BANKING	FTSE BURSA MALAYSIA KLCI
RHB BANK BERHAD	1066	BANKING	FTSE BURSA MALAYSIA KLCI
SIME DARBY BHD	4197	AUTOMOTIVE	FTSE BURSA MALAYSIA KLCI
SIME DARBY PLANTATION BERHAD	5285	PLANTATION	FTSE BURSA MALAYSIA KLCI
TENAGA NASIONAL BHD	5347	ELECTRICITY	FTSE BURSA MALAYSIA KLCI
TOP GLOVE CORPORATION BHD	7113	HEALTH CARE EQUIPMENT & SERVICES	FTSE BURSA MALAYSIA KLCI
7-ELEVEN MALAYSIA HOLDINGS BERHAD	5250	CONSUMER PRODUCTS & SERVICES	Others
ABLEGROUP BERHAD	7086	UNKNOWN	Others
ABM FUJIYA BERHAD	5198	UNKNOWN	Others
ACME HOLDINGS BERHAD	7131	UNKNOWN	Others
ACOUSTECH BHD	7120	UNKNOWN	Others
ADVANCE INFORMATION MARKETING	122	UNKNOWN	Others
ADVANCE SYNERGY BHD	1481	UNKNOWN	Others
ADVANCECON HOLDINGS BERHAD	5281	UNKNOWN	Others
ADVANCED PACKAGING TECHNOLOGY	9148	UNKNOWN	Others
ADVENTA BHD	7191	UNKNOWN	Others
AE MULTI HOLDINGS BHD	7146	UNKNOWN	Others
AEMULUS HOLDINGS BERHAD	181	UNKNOWN	Others
AEON CO. (M) BHD	6599	UNKNOWN	Others
AEON CREDIT SERVICE (M) BHD	5139	UNKNOWN	Others
AFFIN BANK BERHAD	5185	UNKNOWN	Others
AHB HOLDINGS BHD	7315	UNKNOWN	Others
AHMAD ZAKI RESOURCES BHD	7078	UNKNOWN	Others
AIRASIA GROUP BERHAD	5099	UNKNOWN	Others
AIRASIA X BERHAD	5238	CONSUMER PRODUCTS & SERVICES	Others
AJINOMOTO (M) BHD	2658	CONSUMER PRODUCTS & SERVICES	Others
AJIYA BHD	7609	UNKNOWN	Others
ALAM MARITIM RESOURCES BHD	5115	UNKNOWN	Others
AL-AQAR HEALTHCARE REIT	5116	UNKNOWN	Others
ALCOM GROUP BERHAD	2674	UNKNOWN	Others
ALLIANCE BANK MALAYSIA BERHAD	2488	UNKNOWN	Others
ALLIANZ MALAYSIA BHD	1163	UNKNOWN	Others
AL-SALAM REAL ESTATE INVESTMENT TRUST	5269	UNKNOWN	Others
AMALGAMATED INDUSTRIAL STEEL	2682	UNKNOWN	Others
AMANAH HARTA TANAH PNB	4952	UNKNOWN	Others
AMANAHRAYA REITS	5127	UNKNOWN	Others
AMCORP PROPERTIES BERHAD	1007	PROPERTY	Others
AMFIRST REITS	5120	UNKNOWN	Others
AMLEX HOLDINGS BERHAD	3011	UNKNOWN	Others
